,NOSE_TIP,PH_BULB,NERVE_RING,angle
100,"[386.6316223, 32.80828094]","[358.3528748, 46.60681534]","[344.1861572, 75.91972351]",-38.2
101,"[392.7786255, 32.89710617]","[367.5509338, 48.8571434]","[347.635498, 71.73619843]",-16.64
102,"[400.3865051, 27.74700546]","[378.3572998, 50.25459671]","[351.7572937, 71.46958923]",7.04
103,"[408.9268494, 29.3672142]","[382.4170532, 50.51005173]","[357.6149597, 71.94929504]",-2.27
104,"[415.0411377, 32.95393372]","[386.6994629, 51.31353378]","[359.7289734, 73.98743439]",-7.12
105,"[417.9447632, 29.82528496]","[390.1001587, 54.16135025]","[359.598053, 80.85236359]",-0.03
106,"[404.6990967, 23.65896797]","[398.8599243, 64.30474854]","[360.3236694, 96.94346619]",41.56
107,"[397.0856323, 21.78179741]","[397.9760132, 57.91628265]","[381.8889771, 91.52659607]",26.99
108,"[385.7211609, 18.66559029]","[395.5289917, 52.16057587]","[385.8319702, 87.77851105]",31.55
109,"[371.7409058, 22.54722214]","[389.8935852, 49.69374847]","[387.7082214, 88.91975403]",36.96
110,"[354.5713806, 29.08436012]","[380.1503906, 46.17882538]","[388.415741, 82.36868286]",43.38
111,"[343.6771851, 30.2156105]","[373.3493042, 50.78709412]","[385.7730713, 86.18733215]",35.93
112,"[338.003418, 29.55101967]","[361.8339844, 53.55595779]","[382.4057617, 87.79557037]",13.79
113,"[338.9987183, 28.34493446]","[356.698822, 55.92583847]","[377.8467407, 93.05457306]",3.03
114,"[339.4305115, 25.62265015]","[351.9476624, 59.84327316]","[374.3693848, 99.77716827]",-9.22
115,"[341.2807312, 25.23093414]","[346.2112122, 59.67585373]","[369.1933289, 100.2427673]",-21.39
116,"[339.969696, 26.69888496]","[345.2601318, 60.03232574]","[362.4620361, 101.1436081]",-13.69
117,"[338.3766785, 30.97099113]","[344.8876038, 63.84028244]","[359.1463318, 105.3660736]",-7.75
118,"[356.6037903, 31.03186035]","[344.0113525, 59.10256958]","[351.4658508, 102.8754349]",-33.83
119,"[372.8765564, 39.66777039]","[351.4770813, 60.1534462]","[344.2153015, 93.14055634]",-33.83
120,"[387.6021729, 46.54788208]","[357.6603699, 60.00858307]","[344.4118652, 90.15805054]",-42.07
121,"[397.9868774, 56.84530258]","[366.6650696, 62.69529343]","[348.0887451, 83.40159607]",-37.52
122,"[402.2494812, 52.50897598]","[377.3149109, 65.89225769]","[350.8175354, 78.69515991]",2.44
123,"[409.0485535, 46.83641052]","[383.3706055, 67.5138092]","[355.0331116, 83.28541565]",9.74
124,"[416.2621765, 46.28070831]","[386.4405823, 66.45656586]","[357.4692688, 87.4124527]",-1.8
125,"[419.9481812, 55.27148438]","[387.8952026, 67.2522583]","[360.9343262, 86.13220215]",-14.51
126,"[428.7791748, 70.54232025]","[396.5811462, 71.26030731]","[371.4281311, 79.82479858]",-17.53
127,"[436.104248, 76.65687561]","[401.9276123, 78.65119171]","[371.9408875, 84.46494293]",-7.63
128,"[437.2421265, 76.21612549]","[404.6206055, 85.34278107]","[375.0906372, 92.14472961]",2.66
129,"[441.5256653, 72.96555328]","[410.6563721, 91.40195465]","[377.9255981, 100.3205566]",15.61
130,"[442.6444702, 66.53471375]","[422.3348389, 91.45846558]","[386.783844, 103.8834]",31.56
131,"[449.8705444, 66.4695282]","[423.3095703, 91.32689667]","[391.6773376, 107.1807556]",16.48
132,"[459.8564758, 69.97254181]","[428.2525024, 93.16001129]","[395.1223755, 110.0309296]",9.28
133,"[457.3394165, 65.93571472]","[436.3726807, 93.17665863]","[405.0117798, 112.7007904]",20.51
134,"[448.2410583, 57.73075867]","[437.874939, 90.35968018]","[408.3040466, 114.959053]",32.62
135,"[441.190979, 54.68757248]","[437.5080872, 86.3170166]","[415.829071, 116.333046]",29.2
136,"[433.7278137, 52.01815796]","[436.9528198, 84.53066254]","[425.2308655, 116.7400818]",25.66
137,"[435.5854187, 45.33279037]","[434.2955627, 89.3482666]","[422.0453796, 118.737915]",20.95
138,"[437.5362549, 40.72362137]","[429.2492371, 73.29425812]","[422.4647522, 110.8876801]",-4.04
139,"[439.4708252, 41.72869873]","[425.27948, 73.05802917]","[419.3144226, 112.0955658]",-15.68
140,"[438.5019531, 43.43559265]","[425.3282776, 75.88977814]","[416.6651306, 117.237381]",-10.26
141,"[435.2180176, 40.2801857]","[426.067688, 75.31434631]","[414.6943054, 118.7653732]",0.03
142,"[428.3390808, 41.0910759]","[426.2836914, 74.36351776]","[415.2796021, 117.6760025]",10.72
143,"[411.7148438, 42.55451965]","[421.1133118, 70.40888214]","[416.6127319, 113.7222214]",24.58
144,"[404.8190002, 43.42734146]","[417.0602112, 73.08651733]","[415.3873901, 115.1392288]",24.71
145,"[397.701355, 49.11171341]","[409.8525391, 75.40098572]","[413.6843567, 115.7706528]",19.38
146,"[403.6205444, 45.96480942]","[401.5828247, 75.53675842]","[408.128418, 117.9610977]",-12.71
147,"[409.9522095, 43.50361252]","[399.221405, 74.57750702]","[402.7516785, 114.9210205]",-24.05
148,"[415.4832458, 43.7452774]","[400.1080017, 74.84017944]","[400.045166, 116.5097198]",-26.22
149,"[420.5275269, 44.97637177]","[402.828125, 71.19669342]","[395.1666565, 104.8074493]",-21.18
150,"[432.61026, 47.94041824]","[406.7502441, 64.99964905]","[396.6337585, 89.8168869]",-34.41
151,"[440.9424133, 59.3915329]","[414.8813782, 66.67551422]","[397.284668, 84.99839783]",-30.54
152,"[451.0670776, 65.22319794]","[421.1996765, 69.2580719]","[399.8764954, 84.23498535]",-27.39
153,"[455.1876831, 72.88577271]","[429.3757324, 73.21704102]","[403.1566467, 79.82173157]",-13.4
154,"[463.6582642, 72.50415802]","[432.644989, 78.58959961]","[402.6183777, 80.25469971]",7.93
155,"[470.6528931, 82.31121063]","[438.7106934, 83.37741089]","[411.1612244, 85.31656647]",-2.11
156,"[474.8343506, 100.0949173]","[446.4138489, 89.81285095]","[416.7785339, 90.64228821]",-21.49
157,"[479.2882385, 107.8407898]","[454.8053894, 97.70127106]","[423.205658, 93.82524109]",-15.5
